,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-05-03,10141.0,120556.0,37998.0,0.0,2778.0,26922.0,10663.0,113185.0,0.0,26289.0,0.0,1067546.0,29420.0,5234.0,17881.0
2017-05-04,7720.0,120011.0,38739.0,0.0,2496.0,20651.0,10979.0,114381.0,0.0,29532.0,0.0,1084605.0,30507.0,5502.0,30905.0
2017-05-05,9227.0,91282.0,35493.0,0.0,2775.0,14067.0,18176.0,115334.0,0.0,40748.0,0.0,1083559.0,29512.0,5813.0,75990.0
2017-05-06,7326.0,31260.0,21192.0,0.0,2750.0,1817.0,26338.0,112976.0,0.0,23195.0,0.0,1020652.0,24771.0,6017.0,83186.0
2017-05-07,6837.0,21728.0,18441.0,0.0,2749.0,4589.0,30798.0,130165.0,0.0,23235.0,0.0,962174.0,31735.0,6073.0,62876.0
2017-05-08,6829.0,47365.0,19535.0,0.0,2744.0,12812.0,21207.0,134753.0,0.0,27002.0,0.0,990213.0,36302.0,5545.0,52264.0
2017-05-09,6863.0,79717.0,32734.0,0.0,2798.0,24029.0,9417.0,138522.0,0.0,41841.0,0.0,1017880.0,42035.0,5361.0,55476.0
2017-05-10,6861.0,87002.0,43014.0,0.0,2772.0,19796.0,11200.0,135842.0,0.0,36921.0,0.0,1022759.0,30412.0,5476.0,58678.0
2017-05-11,6877.0,74171.0,40617.0,0.0,2596.0,21004.0,13052.0,138150.0,0.0,33479.0,0.0,1018848.0,23425.0,5471.0,60912.0
2017-05-12,6822.0,69373.0,29955.0,0.0,2857.0,17278.0,22496.0,143617.0,0.0,31479.0,0.0,1001344.0,30153.0,5604.0,54523.0
2017-05-13,6688.0,43673.0,8502.0,0.0,2939.0,3630.0,31647.0,142246.0,0.0,19100.0,0.0,945033.0,31075.0,5868.0,41733.0
2017-05-14,6680.0,22109.0,8449.0,0.0,2972.0,8472.0,38530.0,135837.0,0.0,15155.0,0.0,932081.0,36486.0,6021.0,41198.0
2017-05-15,6688.0,65501.0,20019.0,0.0,2992.0,22646.0,10036.0,137192.0,0.0,32015.0,0.0,1028261.0,40266.0,5916.0,26012.0
2017-05-16,6646.0,67824.0,20751.0,0.0,2925.0,20820.0,8383.0,138653.0,0.0,31762.0,0.0,1044238.0,39923.0,6028.0,24137.0
2017-05-17,6657.0,48952.0,15128.0,0.0,3567.0,12016.0,12121.0,137423.0,0.0,34074.0,0.0,1041835.0,35245.0,5930.0,38124.0
2017-05-18,6676.0,64602.0,10169.0,0.0,3018.0,18546.0,13705.0,136727.0,0.0,33113.0,0.0,1037476.0,22166.0,6047.0,49234.0
2017-05-19,6621.0,64114.0,8872.0,0.0,3016.0,8281.0,14280.0,142263.0,0.0,30780.0,0.0,1050944.0,33717.0,5940.0,58923.0
2017-05-20,6632.0,34149.0,202.0,72.0,2997.0,8666.0,18616.0,135828.0,0.0,32003.0,0.0,928138.0,35732.0,6058.0,32570.0
2017-05-21,6721.0,21309.0,0.0,144.0,3004.0,7199.0,38841.0,123658.0,0.0,26771.0,0.0,891985.0,42659.0,5964.0,26885.0
2017-05-22,6798.0,59052.0,7992.0,101.0,3019.0,26684.0,12535.0,127967.0,0.0,47031.0,0.0,956009.0,35608.0,5812.0,36739.0
2017-05-23,6773.0,52191.0,10077.0,0.0,3038.0,18996.0,11222.0,131324.0,0.0,49726.0,0.0,953642.0,35686.0,5829.0,39063.0
2017-05-24,6748.0,45663.0,10259.0,0.0,3033.0,21501.0,12340.0,127121.0,0.0,47070.0,0.0,957553.0,42065.0,5948.0,29545.0
2017-05-25,7062.0,19020.0,4.0,280.0,3009.0,4711.0,31957.0,120991.0,0.0,35707.0,0.0,891249.0,44425.0,6215.0,63549.0
2017-05-26,7491.0,32670.0,0.0,317.0,2339.0,23258.0,11200.0,128854.0,0.0,44595.0,0.0,871470.0,43039.0,6145.0,78087.0
2017-05-27,6863.0,19471.0,0.0,0.0,3045.0,8588.0,26401.0,122432.0,0.0,40432.0,0.0,815919.0,41587.0,5997.0,45638.0
2017-05-28,7072.0,21107.0,0.0,106.0,3020.0,10452.0,28432.0,114824.0,0.0,43758.0,0.0,812601.0,39549.0,5410.0,36854.0
2017-05-29,6877.0,58608.0,9901.0,88.0,8722.0,21089.0,8824.0,126206.0,0.0,63953.0,0.0,861062.0,32212.0,5239.0,41269.0
2017-05-30,6853.0,69655.0,22734.0,0.0,3214.0,13604.0,4990.0,129624.0,0.0,48836.0,0.0,879445.0,29740.0,5498.0,28438.0
2017-05-31,8269.0,65736.0,21339.0,0.0,2911.0,12391.0,6609.0,133783.0,0.0,48903.0,0.0,895106.0,30908.0,5525.0,19750.0
